INFO 2024-11-05 22:31:54,692 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-05 22:31:54,701 autoreload Waiting for apps ready_event.
DEBUG 2024-11-05 22:31:54,709 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-05 22:31:54,749 autoreload Watching dir C:\Users\asus\Documents\GitHub\Skillwill-Repository\myproject\locale with glob **/*.mo.
DEBUG 2024-11-05 22:31:54,830 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-11-05 22:31:54,879 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1730831502.9060154
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\contrib\auth\views.py first seen with mtime 1730831501.3192935
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1730831502.7755375
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1730831502.6693428
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\opcode.py first seen with mtime 1727741020.0
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\views\static.py first seen with mtime 1730831502.9060154
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\utils\hashable.py first seen with mtime 1730831502.8898306
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\email\utils.py first seen with mtime 1727741020.0
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\DLLs\_socket.pyd first seen with mtime 1727741072.0
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\_compat_pickle.py first seen with mtime 1727741020.0
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1730831500.9832053
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\ctypes\_endian.py first seen with mtime 1727741020.0
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\contrib\sessions\middleware.py first seen with mtime 1730831502.317336
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1730831502.9142425
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1730831502.9060154
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1730831502.661079
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1730831502.7755375
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\email\mime\text.py first seen with mtime 1727741020.0
DEBUG 2024-11-05 22:31:54,887 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1730831502.6529233
DEBUG 2024-11-05 22:31:54,895 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_events.py first seen with mtime 1727741020.0
DEBUG 2024-11-05 22:31:54,895 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\asyncio\selector_events.py first seen with mtime 1727741020.0
DEBUG 2024-11-05 22:31:54,895 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1730831502.505714
DEBUG 2024-11-05 22:31:54,898 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\uuid.py first seen with mtime 1727741020.0
DEBUG 2024-11-05 22:31:54,898 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\utils\duration.py first seen with mtime 1730831502.8816814
DEBUG 2024-11-05 22:31:54,898 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1730831502.6773446
DEBUG 2024-11-05 22:31:54,898 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\forms\forms.py first seen with mtime 1730831502.7918208
DEBUG 2024-11-05 22:31:54,898 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\email\header.py first seen with mtime 1727741020.0
DEBUG 2024-11-05 22:31:54,898 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1730831502.685556
DEBUG 2024-11-05 22:31:54,898 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\template\context.py first seen with mtime 1730831502.8510563
DEBUG 2024-11-05 22:31:54,898 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\asyncio\futures.py first seen with mtime 1727741020.0
DEBUG 2024-11-05 22:31:54,904 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1730831501.316571
DEBUG 2024-11-05 22:31:54,904 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\_tzpath.py first seen with mtime 1727741020.0
DEBUG 2024-11-05 22:31:54,904 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1730831500.7046127
DEBUG 2024-11-05 22:31:54,904 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\forms\__init__.py first seen with mtime 1730831502.7918208
DEBUG 2024-11-05 22:31:54,904 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\typing.py first seen with mtime 1727741020.0
DEBUG 2024-11-05 22:31:54,904 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\email\headerregistry.py first seen with mtime 1727741020.0
DEBUG 2024-11-05 22:31:54,904 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1730831502.6529233
DEBUG 2024-11-05 22:31:54,904 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1730831500.84398
DEBUG 2024-11-05 22:31:54,904 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\bz2.py first seen with mtime 1727741020.0
DEBUG 2024-11-05 22:31:54,904 autoreload File C:\Users\asus\Documents\GitHub\Skillwill-Repository\venv\Lib\site-packages\django\utils\decorators.py first seen with mtime 1730831502.8816814
DEBUG 2024-11-05 22:31:54,904 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python312\Lib\email\charset.py first seen with mtime 1727741020.0
